,Postcode,Baths,Income,Parking,Bedrooms,Count_Shopping_Center,Weekly Rental Price,Pred_2023,Pred_2024,Pred_2025,rate_2023,rate_2024,rate_2025
8556,3205,1,76204.6539490241,1,1,0.0,390.0,463.82419739071213,443.8720596210744,416.47491699518173,0.18929281382233878,-0.04301659525716941,-0.06172306193203765
8557,3205,1,76204.6539490241,0,1,0.0,500.0,434.4800972494056,445.60192773373603,453.76463673749384,-0.13103980550118877,0.02559802061070274,0.018318387995474153
8558,3205,1,76204.6539490241,1,1,0.0,400.0,463.82419739071213,443.8720596210744,416.47491699518173,0.15956049347678034,-0.04301659525716941,-0.06172306193203765
8559,3205,2,76204.6539490241,0,2,0.0,500.0,719.3834409810038,769.0238757340405,793.6144452951984,0.4387668819620076,0.06900413871821044,0.03197634083556368
8560,3205,3,76204.6539490241,0,2,0.0,780.0,1080.4372143705968,1099.4819654528478,1105.9175210084034,0.38517591585973954,0.017626892917924332,0.005853261588428966
8561,3205,1,76204.6539490241,3,4,0.0,1000.0,900.8113682000713,908.1970824857857,913.8571252208286,-0.09918863179992866,0.008198957680198793,0.00623217454030028
8562,3205,2,76204.6539490241,0,3,0.0,900.0,943.4644905009629,982.8892375145705,1050.6256746142642,0.04829387833440327,0.041787208114927255,0.06891563618193508
8563,3205,2,76204.6539490241,1,2,0.0,750.0,792.850356825533,841.7760128748391,881.5203829709737,0.057133809100710704,0.06170856281782844,0.04721489979311643
8564,3205,2,76204.6539490241,1,3,0.0,950.0,983.4180483111342,1044.6985710073918,1162.6297687467732,0.03517689295908859,0.06231380723741782,0.11288538245597629
8565,3205,2,76204.6539490241,1,3,0.0,700.0,983.4180483111342,1044.6985710073918,1162.6297687467732,0.4048829261587631,0.06231380723741782,0.11288538245597629
8566,3205,1,76204.6539490241,1,2,0.0,800.0,622.0454174623165,627.3159861197416,640.9362123380215,-0.22244322817210432,0.008472964367982628,0.021711906789635117
8567,3205,1,76204.6539490241,0,3,0.0,540.0,688.3956390421636,705.4171007493752,728.0154989535653,0.27480673896696955,0.024726277654657097,0.03203551229504281
8568,3205,2,76204.6539490241,1,2,0.0,580.0,792.850356825533,841.7760128748391,881.5203829709737,0.3669833738371259,0.06170856281782844,0.04721489979311643
8569,3205,1,76204.6539490241,1,1,0.0,415.0,463.82419739071213,443.8720596210744,416.47491699518173,0.11764866841135453,-0.04301659525716941,-0.06172306193203765
8570,3205,1,76204.6539490241,2,2,0.0,650.0,611.9644733014214,610.9088311657791,619.2624200768681,-0.0585161949208901,-0.0017250055872481144,0.01367403528141521
8571,3205,2,76204.6539490241,1,2,0.0,650.0,792.850356825533,841.7760128748391,881.5203829709737,0.21976977973158926,0.06170856281782844,0.04721489979311643
8572,3205,2,76204.6539490241,1,2,0.0,2000.0,792.850356825533,841.7760128748391,881.5203829709737,-0.6035748215872335,0.06170856281782844,0.04721489979311643
8573,3205,2,76204.6539490241,2,2,0.0,800.0,790.424102115732,808.7682957787043,821.550826642902,-0.011969872355334985,0.023208039347320412,0.015804935642154905
8574,3205,2,76204.6539490241,1,2,0.0,800.0,792.850356825533,841.7760128748391,881.5203829709737,-0.008937053968083718,0.06170856281782844,0.04721489979311643
8575,3205,1,76204.6539490241,1,2,0.0,490.0,622.0454174623165,627.3159861197416,640.9362123380215,0.269480443800646,0.008472964367982628,0.021711906789635117
8576,3205,1,76204.6539490241,0,1,0.0,400.0,434.4800972494056,445.60192773373603,453.76463673749384,0.08620024312351404,0.02559802061070274,0.018318387995474153
8577,3205,2,76204.6539490241,1,2,0.0,700.0,792.850356825533,841.7760128748391,881.5203829709737,0.1326433668936186,0.06170856281782844,0.04721489979311643
8578,3205,2,76204.6539490241,2,3,0.0,900.0,1082.5123205381883,1101.4717485684912,1111.0121875710902,0.20279146726465366,0.01751428382900705,0.008661537633623427
8579,3205,2,76204.6539490241,1,3,0.0,1180.0,983.4180483111342,1044.6985710073918,1162.6297687467732,-0.16659487431259817,0.06231380723741782,0.11288538245597629
8580,3205,1,76204.6539490241,1,2,0.0,525.0,622.0454174623165,627.3159861197416,640.9362123380215,0.18484841421393627,0.008472964367982628,0.021711906789635117
8581,3205,2,76204.6539490241,1,3,0.0,850.0,983.4180483111342,1044.6985710073918,1162.6297687467732,0.1569624097778049,0.06231380723741782,0.11288538245597629
8582,3205,2,76204.6539490241,1,2,0.0,925.0,792.850356825533,841.7760128748391,881.5203829709737,-0.14286447910753186,0.06170856281782844,0.04721489979311643
8583,3205,2,76204.6539490241,1,2,0.0,900.0,792.850356825533,841.7760128748391,881.5203829709737,-0.11905515908274109,0.06170856281782844,0.04721489979311643
8584,3205,3,76204.6539490241,1,3,0.0,3750.0,2300.6320250814,2265.4864893671142,2264.2504477004472,-0.38649812664495997,-0.015276469827043447,-0.0005455965738344821
8585,3206,1,84683.77506141887,1,1,0.0,365.0,405.023713291478,405.023713291478,405.023713291478,0.10965400901774788,0.0,0.0
8586,3206,1,84683.77506141887,0,1,0.0,670.0,470.74561986343053,470.74561986343053,470.74561986343053,-0.2973945972187604,0.0,0.0
8587,3206,1,84683.77506141887,0,3,0.0,680.0,706.2477264623063,706.2477264623063,706.2477264623063,0.038599597738685786,0.0,0.0
8588,3206,2,84683.77506141887,0,4,0.0,1600.0,1397.1906624001213,1397.1906624001213,1420.0739957334545,-0.1267558359999242,0.0,0.016378103539586915
8589,3206,1,84683.77506141887,0,3,0.0,890.0,706.2477264623063,706.2477264623063,706.2477264623063,-0.20646322869403783,0.0,0.0
8590,3206,2,84683.77506141887,1,3,0.0,1350.0,1218.4596797077688,1218.4596797077688,1219.1346797077688,-0.09743727429054161,0.0,0.0005539781178166226
8591,3206,1,84683.77506141887,1,1,0.0,380.0,405.023713291478,405.023713291478,405.023713291478,0.06585187708283678,0.0,0.0
8592,3206,1,84683.77506141887,0,1,0.0,495.0,470.74561986343053,470.74561986343053,470.74561986343053,-0.04899874775064539,0.0,0.0
8593,3206,2,84683.77506141887,1,3,0.0,1300.0,1218.4596797077688,1218.4596797077688,1219.1346797077688,-0.06272332330171629,0.0,0.0005539781178166226
