,Postcode,Baths,Population,Count_School,Count_Station,Bedrooms,Pred_2023,Pred_2024,Pred_2025,Weekly Rental Price,rate_2023,rate_2024,rate_2025
107,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
108,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
109,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
115,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
116,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
117,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
118,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
119,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
120,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
121,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
122,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
123,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
124,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
125,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,260.0,6.004106727013221,0.0,0.0
126,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,260.0,6.004106727013221,0.0,0.0
127,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,260.0,6.004106727013221,0.0,0.0
128,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,260.0,6.004106727013221,0.0,0.0
129,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,260.0,6.004106727013221,0.0,0.0
130,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
131,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
132,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
133,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
134,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
135,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,300.0,5.070225830078125,0.0,0.0
136,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,300.0,5.070225830078125,0.0,0.0
137,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,300.0,5.070225830078125,0.0,0.0
138,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,300.0,5.070225830078125,0.0,0.0
139,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,300.0,5.070225830078125,0.0,0.0
