Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3128,15447.0,15552.0,15629.0,15766.0,16109.0,16476.0,17012.0,17414.0,17965.0,18218.0,18240.0,18697.0,19169.0,19618.0,20170.0,20839.0,21747.0,22686.0,23420.0,24101.0,23232.0
3129,15780.0,15820.0,15843.0,15915.0,16038.0,16224.0,16447.0,16699.0,16973.0,17051.0,17036.0,17239.0,17543.0,17940.0,18205.0,18466.0,18557.0,18653.0,18749.0,18887.0,18304.0
3130,29731.0,29702.0,29676.0,29667.0,29740.0,29905.0,30202.0,30759.0,31205.0,31448.0,31610.0,31902.0,32257.0,32549.0,32951.0,33520.0,33886.0,34073.0,34284.0,34331.0,33382.0
3131,20669.0,20604.0,20489.0,20451.0,20442.0,20563.0,20970.0,21165.0,21521.0,21646.0,21812.0,22059.0,22378.0,22639.0,22963.0,23437.0,23815.0,24029.0,24022.0,23997.0,23388.0
3132,14232.0,14378.0,14524.0,14635.0,14734.0,14852.0,14976.0,15102.0,15208.0,15265.0,15346.0,15804.0,16205.0,16482.0,16686.0,16859.0,17077.0,17220.0,17268.0,17318.0,16935.0
3133,21772.0,21658.0,21510.0,21461.0,21426.0,21610.0,21775.0,21894.0,22115.0,22178.0,22152.0,22338.0,22521.0,22689.0,22893.0,23147.0,23365.0,23519.0,23626.0,23612.0,23127.0
3134,96264.0,96350.0,96389.0,96473.0,97068.0,97636.0,98438.0,99425.0,100754.0,101169.0,101450.0,102120.0,102890.0,103815.0,104748.0,105929.0,106813.0,107295.0,107791.0,107780.0,105903.0
3135,33828.0,33739.0,33700.0,33600.0,33681.0,33754.0,34257.0,34768.0,35553.0,35864.0,36264.0,36700.0,37128.0,37710.0,38311.0,38962.0,39605.0,39968.0,40495.0,40887.0,40270.0
3136,33029.0,33060.0,33032.0,33092.0,33295.0,33455.0,33674.0,34156.0,34903.0,35138.0,35207.0,35501.0,35816.0,36102.0,36351.0,36683.0,37061.0,37242.0,37567.0,37748.0,37154.0
3137,26545.0,26491.0,26529.0,26548.0,26517.0,26560.0,26750.0,27075.0,27428.0,27542.0,27558.0,27771.0,28003.0,28183.0,28437.0,28805.0,29024.0,29194.0,29384.0,29307.0,28943.0
3138,35215.0,35363.0,35393.0,35385.0,35563.0,35814.0,36204.0,36643.0,37178.0,37448.0,37709.0,38009.0,38418.0,38930.0,39576.0,40371.0,41190.0,41741.0,42380.0,42680.0,42315.0
3139,49404.0,49558.0,49621.0,49754.0,49840.0,50159.0,50447.0,50783.0,51250.0,51492.0,51620.0,51834.0,52072.0,52324.0,52651.0,53167.0,53425.0,53688.0,53799.0,53707.0,53567.0
3140,35732.0,36021.0,36180.0,36269.0,36594.0,37032.0,37626.0,38395.0,39176.0,39527.0,39838.0,40193.0,40602.0,41133.0,41816.0,42475.0,43041.0,43377.0,43713.0,43811.0,43230.0
3141,5317.0,5233.0,5176.0,5183.0,5289.0,5538.0,5837.0,6118.0,6380.0,6418.0,6426.0,6400.0,6393.0,6397.0,6405.0,6453.0,6831.0,6954.0,7052.0,6955.0,6542.0
3142,13318.0,13367.0,13455.0,13563.0,13672.0,13765.0,13861.0,13956.0,13979.0,13939.0,13768.0,13795.0,13841.0,13878.0,13939.0,14036.0,13958.0,13947.0,13903.0,13627.0,13098.0
3143,25220.0,25407.0,25544.0,25887.0,26141.0,26457.0,26911.0,27447.0,27843.0,28013.0,28039.0,28709.0,29315.0,29868.0,30319.0,30894.0,30996.0,31175.0,31117.0,30894.0,28896.0
3144,40475.0,40621.0,40907.0,41209.0,41421.0,41748.0,42127.0,42834.0,43347.0,43492.0,43348.0,43622.0,43908.0,44163.0,44433.0,44803.0,44812.0,45212.0,45517.0,45128.0,43016.0
3145,63961.0,64388.0,64735.0,65196.0,65699.0,66412.0,67236.0,68297.0,69190.0,69627.0,69846.0,70632.0,71494.0,72350.0,73157.0,74115.0,75018.0,75612.0,76113.0,76181.0,73467.0
3146,73012.0,73631.0,74173.0,74768.0,75267.0,75965.0,77061.0,78446.0,79531.0,80022.0,80194.0,81050.0,81911.0,82836.0,83877.0,85201.0,85991.0,86662.0,87201.0,86844.0,83636.0
3147,36639.0,36952.0,37131.0,37400.0,38035.0,38523.0,39308.0,40037.0,40778.0,41101.0,41488.0,42251.0,42912.0,43441.0,43928.0,44594.0,45281.0,45619.0,46031.0,45957.0,44825.0
3148,14503.0,14648.0,14710.0,14835.0,15243.0,15612.0,15966.0,16191.0,16560.0,16658.0,16979.0,17522.0,18002.0,18437.0,18835.0,19308.0,19757.0,19966.0,20244.0,20302.0,19790.0
