geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,routeussp,ticketzone,postcode,suburb_name,ward_name,easting,northing,gisfid,fme_feature_type,googlemaps_drive_to
"-37.9888669602, 145.2642951492","{""coordinates"": [145.2642951492, -37.9888669602], ""type"": ""Point""}",MGA zone 55,27820,Southern Cross PS/David Collins Dr (Endeavour Hills),-37.98886696016570,145.26429514919,861,2,3802,ENDEAVOUR HILLS,FOUR OAKS,347581,5793998,1116,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.98886696016573,145.26429514919/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9821140053, 145.314312838","{""coordinates"": [145.314312838, -37.9821140053], ""type"": ""Point""}",MGA zone 55,27823,Randle Ct/Heatherton Rd (Narre Warren North),-37.982114005332100,145.3143128380040,842,2,3804,NARRE WARREN NORTH,FOUR OAKS,351960,5794829,1118,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.982114005332065,145.3143128380044/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0515519907, 145.3397198072","{""coordinates"": [145.3397198072, -38.0515519907], ""type"": ""Point""}",MGA zone 55,27922,Centre Rd/Clyde Rd Rd (Berwick),-38.05155199070990,145.33971980717300,"889,888",,3806,BERWICK,EDRINGTON,354328,5787164,1121,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.05155199070991,145.33971980717305/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0886810388, 145.3326772197","{""coordinates"": [145.3326772197, -38.0886810388], ""type"": ""Point""}",MGA zone 55,27930,Thompsons Rd/Berwick-Cranbourne Rd (Cranbourne North),-38.088681038773100,145.33267721972300,888,,3977,CRANBOURNE NORTH,SPRINGFIELD,353784,5783032,1126,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.088681038773075,145.33267721972305/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0939910231, 145.3322030601","{""coordinates"": [145.3322030601, -38.0939910231], ""type"": ""Point""}",MGA zone 55,27935,Hamersley Dr/Berwick-Cranbourne Rd (Clyde North),-38.09399102309470,145.3322030600610,888,,3978,CLYDE NORTH,EDRINGTON,353753,5782443,1130,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.09399102309474,145.3322030600611/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1066059555, 145.3295328719","{""coordinates"": [145.3295328719, -38.1066059555], ""type"": ""Point""}",MGA zone 55,27938,Clydevale Ave/Berwick-Cranbourne Rd (Clyde North),-38.10660595551960,145.32953287194600,888,,3978,CLYDE NORTH,EDRINGTON,353545,5781038,1132,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.10660595551962,145.32953287194618/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1135909583, 145.3283701015","{""coordinates"": [145.3283701015, -38.1135909583], ""type"": ""Point""}",MGA zone 55,27945,Newbridge Bvd/Berwick-Cranbourne Rd (Clyde North),-38.113590958336500,145.3283701015450,888,,3978,CLYDE NORTH,EDRINGTON,353457,5780262,1138,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.113590958336495,145.3283701015454/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0755239938, 145.3441600809","{""coordinates"": [145.3441600809, -38.0755239938], ""type"": ""Point""}",MGA zone 55,27948,Viewgrand Dr/Grices Rd (Berwick),-38.07552399380990,145.34416008092100,889,,3806,BERWICK,EDRINGTON,354766,5784510,1169,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.07552399380989,145.34416008092128/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0764079823, 145.3487460847","{""coordinates"": [145.3487460847, -38.0764079823], ""type"": ""Point""}",MGA zone 55,27949,Bonnington Bvd/Grices Rd (Clyde North),-38.076407982276000,145.34874608467500,889,,3978,CLYDE NORTH,EDRINGTON,355170,5784420,1170,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.076407982275974,145.34874608467513/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0770300158, 145.3532691024","{""coordinates"": [145.3532691024, -38.0770300158], ""type"": ""Point""}",MGA zone 55,27951,Macumba Dr/Grices Rd (Clyde North),-38.07703001576270,145.35326910244100,889,,3978,CLYDE NORTH,EDRINGTON,355567,5784358,1172,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.07703001576268,145.35326910244123/@your+location,17z/data=!4m2!4m1!3e0"
